CONTAINER_ID , X , Y
CT1 , 0 , 0
CT2 , 0 , 0
CT3 , 0 , 0
CT4 , 0 , 0
CT5 , 0 , 0
CT6 , 0 , 0
CT7 , 0 , 0
CT8 , 0 , 0
CT9 , 0 , 0
CT10 , 0 , 0
CT11 , 0 , 0
CT12 , 0 , 0
CT13 , 0 , 0
CT14 , 0 , 0
CT15 , 0 , 0
CT16 , 0 , 0
CT17 , 0 , 0
CT18 , 0 , 0
CT19 , 0 , 0
CT20 , 0 , 0
CT21 , 0 , 0
CT22 , 0 , 0
CT23 , 0 , 0
CT24 , 0 , 0
CT25 , 0 , 0
CT26 , 10 , 2
CT27 , 0 , 0
CT28 , 4 , 1
CT29 , 0 , 0
CT30 , 0 , 0
CT31 , 0 , 0
CT32 , 8 , 2
CT33 , 8 , 1
CT34 , 2 , 1
CT35 , 0 , 0
CT36 , 0 , 0
CT37 , 0 , 0
CT38 , 0 , 0
CT39 , 0 , 0
CT40 , 0 , 0
CT41 , 0 , 0
CT42 , 4 , 2
CT43 , 0 , 0
CT44 , 0 , 0
CT45 , 5 , 2
CT46 , 6 , 2
CT47 , 0 , 0
CT48 , 0 , 0
CT49 , 0 , 0
CT50 , 9 , 1
CT51 , 0 , 0
CT52 , 0 , 0
CT53 , 0 , 0
CT54 , 3 , 1
CT55 , 0 , 0
CT56 , 0 , 0
CT57 , 0 , 0
CT58 , 0 , 0
CT59 , 0 , 0
CT60 , 0 , 0
CT61 , 6 , 1
CT62 , 0 , 0
CT63 , 0 , 0
CT64 , 0 , 0
CT65 , 7 , 1
CT66 , 1 , 1
CT67 , 0 , 0
CT68 , 0 , 0
CT69 , 3 , 2
CT70 , 0 , 0
CT71 , 0 , 0
CT72 , 0 , 0
CT73 , 2 , 2
CT74 , 0 , 0
CT75 , 0 , 0
CT76 , 0 , 0
CT77 , 0 , 0
CT78 , 0 , 0
CT79 , 7 , 2
CT80 , 1 , 2
CT81 , 0 , 0
CT82 , 0 , 0
CT83 , 0 , 0
CT84 , 0 , 0
CT85 , 0 , 0
CT86 , 0 , 0
CT87 , 5 , 1
CT88 , 0 , 0
CT89 , 0 , 0
CT90 , 0 , 0
CT91 , 0 , 0
CT92 , 9 , 2
CT93 , 0 , 0
CT94 , 10 , 1
CT95 , 0 , 0
CT96 , 0 , 0
CT97 , 0 , 0
CT98 , 0 , 0
CT99 , 0 , 0
CT100 , 0 , 0
