OPERATIONS
CT1 , A
CT25 , A
CT5 , A
CT34 , A
CT15 , A
CT30 , A
CT80 , A
CT22 , A
CT27 , A
CT24 , A
CT29 , A
CT12 , A
CT11 , A
CT47 , A
CT31 , A
CT1 , R
CT7 , A
CT2 , A
CT10 , A
CT2 , R
CT45 , A
CT40 , A
CT13 , A
CT3 , A
CT79 , A
CT36 , A
CT87 , A
CT3 , R
CT9 , A
CT51 , A
CT4 , A
CT33 , A
CT4 , R
CT66 , A
CT5 , R
CT42 , A
CT6 , R
CT94 , A
CT18 , A
CT72 , A
CT61 , A
CT90 , A
CT16 , A
CT7 , R
CT91 , A
CT43 , A
CT8 , R
CT9 , R
CT21 , A
CT65 , A
CT10 , R
CT35 , A
CT76 , A
CT11 , R
CT68 , A
CT23 , A
CT12 , R
CT13 , R
CT53 , A
CT14 , R
CT39 , A
CT15 , R
CT17 , A
CT16 , R
CT20 , A
CT98 , A
CT17 , R
CT18 , R
CT28 , A
CT19 , R
CT32 , A
CT20 , R
CT95 , A
CT50 , A
CT71 , A
CT21 , R
CT22 , R
CT23 , R
CT48 , A
CT24 , R
CT26 , A
CT25 , R
CT26 , R
CT27 , R
CT28 , R
CT29 , R
CT30 , R
CT56 , A
CT49 , A
CT31 , R
CT32 , R
CT81 , A
CT54 , A
CT97 , A
CT33 , R
CT88 , A
CT34 , R
CT93 , A
CT63 , A
CT70 , A
CT67 , A
CT74 , A
CT35 , R
CT92 , A
CT36 , R
CT37 , R
CT38 , R
CT39 , R
CT40 , R
CT41 , R
CT42 , R
CT43 , R
CT44 , R
CT45 , R
CT84 , A
CT46 , R
CT64 , A
CT47 , R
CT48 , R
CT77 , A
CT49 , R
CT50 , R
CT51 , R
CT86 , A
CT52 , R
CT69 , A
CT53 , R
CT54 , R
CT55 , R
CT96 , A
CT62 , A
CT56 , R
CT57 , R
CT58 , R
CT83 , A
CT59 , R
CT60 , R
CT61 , R
CT62 , R
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT67 , R
CT68 , R
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT100 , A
CT74 , R
CT75 , R
CT76 , R
CT77 , R
CT99 , A
CT78 , R
CT79 , R
CT80 , R
CT82 , A
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
