OPERATIONS
CT38 , A
CT12 , A
CT7 , A
CT29 , A
CT1 , A
CT87 , A
CT2 , A
CT45 , A
CT42 , A
CT19 , A
CT4 , A
CT1 , R
CT2 , R
CT3 , R
CT13 , A
CT67 , A
CT28 , A
CT4 , R
CT8 , A
CT39 , A
CT41 , A
CT9 , A
CT23 , A
CT18 , A
CT10 , A
CT25 , A
CT20 , A
CT49 , A
CT15 , A
CT24 , A
CT21 , A
CT6 , A
CT78 , A
CT5 , R
CT69 , A
CT6 , R
CT34 , A
CT7 , R
CT37 , A
CT100 , A
CT11 , A
CT92 , A
CT14 , A
CT84 , A
CT8 , R
CT66 , A
CT31 , A
CT9 , R
CT10 , R
CT56 , A
CT11 , R
CT80 , A
CT51 , A
CT12 , R
CT13 , R
CT14 , R
CT91 , A
CT15 , R
CT16 , R
CT83 , A
CT17 , R
CT50 , A
CT64 , A
CT89 , A
CT18 , R
CT19 , R
CT88 , A
CT52 , A
CT26 , A
CT20 , R
CT21 , R
CT22 , R
CT23 , R
CT24 , R
CT25 , R
CT26 , R
CT68 , A
CT47 , A
CT58 , A
CT27 , R
CT28 , R
CT29 , R
CT30 , R
CT31 , R
CT32 , R
CT33 , A
CT33 , R
CT36 , A
CT70 , A
CT72 , A
CT43 , A
CT65 , A
CT79 , A
CT34 , R
CT60 , A
CT48 , A
CT35 , R
CT61 , A
CT76 , A
CT36 , R
CT93 , A
CT37 , R
CT75 , A
CT38 , R
CT39 , R
CT54 , A
CT40 , A
CT40 , R
CT41 , R
CT57 , A
CT42 , R
CT43 , R
CT44 , R
CT45 , R
CT46 , R
CT47 , R
CT48 , R
CT49 , R
CT50 , R
CT53 , A
CT51 , R
CT63 , A
CT52 , R
CT95 , A
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT57 , R
CT77 , A
CT58 , R
CT71 , A
CT94 , A
CT90 , A
CT59 , R
CT60 , R
CT61 , R
CT62 , R
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT98 , A
CT67 , R
CT68 , R
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT74 , R
CT75 , R
CT99 , A
CT86 , A
CT76 , R
CT77 , R
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT96 , A
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
