CONTAINER_ID , X , Y
CT1 , 0 , 0
CT2 , 9 , 2
CT3 , 0 , 0
CT4 , 3 , 3
CT5 , 0 , 0
CT6 , 4 , 6
CT7 , 5 , 5
CT8 , 6 , 2
CT9 , 10 , 4
CT10 , 0 , 0
CT11 , 6 , 5
CT12 , 8 , 6
CT13 , 5 , 2
CT14 , 1 , 4
CT15 , 10 , 3
CT16 , 10 , 2
CT17 , 0 , 0
CT18 , 2 , 3
CT19 , 0 , 0
CT20 , 1 , 3
CT21 , 8 , 2
CT22 , 0 , 0
CT23 , 0 , 0
CT24 , 1 , 1
CT25 , 4 , 2
CT26 , 5 , 4
CT27 , 9 , 7
CT28 , 4 , 3
CT29 , 0 , 0
CT30 , 4 , 4
CT31 , 6 , 8
CT32 , 8 , 4
CT33 , 9 , 6
CT34 , 7 , 2
CT35 , 6 , 6
CT36 , 9 , 4
CT37 , 7 , 1
CT38 , 3 , 6
CT39 , 10 , 6
CT40 , 3 , 8
CT41 , 3 , 5
CT42 , 1 , 8
CT43 , 1 , 2
CT44 , 0 , 0
CT45 , 0 , 0
CT46 , 4 , 7
CT47 , 10 , 7
CT48 , 8 , 8
CT49 , 2 , 7
CT50 , 0 , 0
CT51 , 7 , 4
CT52 , 5 , 7
CT53 , 0 , 0
CT54 , 10 , 1
CT55 , 8 , 7
CT56 , 8 , 5
CT57 , 10 , 8
CT58 , 0 , 0
CT59 , 8 , 1
CT60 , 0 , 0
CT61 , 3 , 2
CT62 , 3 , 7
CT63 , 1 , 6
CT64 , 5 , 6
CT65 , 7 , 7
CT66 , 4 , 8
CT67 , 9 , 1
CT68 , 10 , 5
CT69 , 2 , 2
CT70 , 6 , 7
CT71 , 4 , 5
CT72 , 0 , 0
CT73 , 1 , 5
CT74 , 0 , 0
CT75 , 2 , 1
CT76 , 1 , 7
CT77 , 2 , 8
CT78 , 5 , 8
CT79 , 2 , 4
CT80 , 0 , 0
CT81 , 0 , 0
CT82 , 7 , 5
CT83 , 8 , 3
CT84 , 3 , 4
CT85 , 2 , 6
CT86 , 0 , 0
CT87 , 7 , 8
CT88 , 5 , 3
CT89 , 7 , 6
CT90 , 9 , 3
CT91 , 2 , 5
CT92 , 9 , 5
CT93 , 6 , 3
CT94 , 4 , 1
CT95 , 7 , 3
CT96 , 9 , 8
CT97 , 5 , 1
CT98 , 6 , 1
CT99 , 6 , 4
CT100 , 3 , 1
