OPERATIONS
CT59 , A
CT90 , A
CT1 , A
CT4 , A
CT12 , A
CT13 , A
CT25 , A
CT15 , A
CT19 , A
CT24 , A
CT10 , A
CT2 , A
CT64 , A
CT43 , A
CT55 , A
CT71 , A
CT6 , A
CT11 , A
CT1 , R
CT68 , A
CT23 , A
CT7 , A
CT3 , A
CT41 , A
CT52 , A
CT2 , R
CT35 , A
CT3 , R
CT5 , A
CT63 , A
CT4 , R
CT72 , A
CT76 , A
CT88 , A
CT29 , A
CT18 , A
CT77 , A
CT70 , A
CT86 , A
CT5 , R
CT20 , A
CT8 , A
CT6 , R
CT22 , A
CT14 , A
CT85 , A
CT7 , R
CT9 , A
CT8 , R
CT9 , R
CT60 , A
CT10 , R
CT11 , R
CT12 , R
CT13 , R
CT17 , A
CT14 , R
CT15 , R
CT21 , A
CT16 , A
CT97 , A
CT82 , A
CT48 , A
CT27 , A
CT16 , R
CT83 , A
CT17 , R
CT18 , R
CT36 , A
CT19 , R
CT20 , R
CT21 , R
CT78 , A
CT30 , A
CT22 , R
CT56 , A
CT44 , A
CT23 , R
CT58 , A
CT24 , R
CT25 , R
CT81 , A
CT39 , A
CT40 , A
CT37 , A
CT38 , A
CT31 , A
CT26 , R
CT51 , A
CT47 , A
CT49 , A
CT27 , R
CT28 , R
CT29 , R
CT91 , A
CT30 , R
CT89 , A
CT31 , R
CT98 , A
CT32 , R
CT33 , R
CT34 , R
CT35 , R
CT36 , R
CT53 , A
CT37 , R
CT67 , A
CT38 , R
CT62 , A
CT100 , A
CT39 , R
CT40 , R
CT41 , R
CT42 , R
CT43 , R
CT44 , R
CT45 , R
CT46 , R
CT47 , R
CT48 , R
CT49 , R
CT50 , R
CT93 , A
CT51 , R
CT52 , R
CT57 , A
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT57 , R
CT58 , R
CT59 , R
CT74 , A
CT60 , R
CT61 , R
CT62 , R
CT63 , R
CT95 , A
CT75 , A
CT64 , R
CT65 , R
CT66 , R
CT67 , R
CT68 , R
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT74 , R
CT75 , R
CT76 , R
CT77 , R
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT84 , A
CT99 , A
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT96 , A
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
