CONTAINER_ID , X , Y
CT1 , 0 , 0
CT2 , 2 , 2
CT3 , 7 , 2
CT4 , 0 , 0
CT5 , 5 , 2
CT6 , 10 , 1
CT7 , 0 , 0
CT8 , 0 , 0
CT9 , 0 , 0
CT10 , 0 , 0
CT11 , 0 , 0
CT12 , 0 , 0
CT13 , 0 , 0
CT14 , 0 , 0
CT15 , 0 , 0
CT16 , 0 , 0
CT17 , 0 , 0
CT18 , 0 , 0
CT19 , 0 , 0
CT20 , 0 , 0
CT21 , 0 , 0
CT22 , 0 , 0
CT23 , 0 , 0
CT24 , 4 , 2
CT25 , 10 , 2
CT26 , 0 , 0
CT27 , 0 , 0
CT28 , 0 , 0
CT29 , 0 , 0
CT30 , 0 , 0
CT31 , 0 , 0
CT32 , 9 , 2
CT33 , 0 , 0
CT34 , 0 , 0
CT35 , 0 , 0
CT36 , 0 , 0
CT37 , 0 , 0
CT38 , 0 , 0
CT39 , 0 , 0
CT40 , 0 , 0
CT41 , 8 , 1
CT42 , 0 , 0
CT43 , 6 , 1
CT44 , 0 , 0
CT45 , 0 , 0
CT46 , 2 , 1
CT47 , 0 , 0
CT48 , 0 , 0
CT49 , 1 , 1
CT50 , 0 , 0
CT51 , 0 , 0
CT52 , 0 , 0
CT53 , 7 , 1
CT54 , 0 , 0
CT55 , 0 , 0
CT56 , 0 , 0
CT57 , 0 , 0
CT58 , 0 , 0
CT59 , 6 , 2
CT60 , 0 , 0
CT61 , 0 , 0
CT62 , 0 , 0
CT63 , 0 , 0
CT64 , 3 , 1
CT65 , 0 , 0
CT66 , 0 , 0
CT67 , 0 , 0
CT68 , 0 , 0
CT69 , 0 , 0
CT70 , 0 , 0
CT71 , 0 , 0
CT72 , 0 , 0
CT73 , 9 , 1
CT74 , 0 , 0
CT75 , 0 , 0
CT76 , 0 , 0
CT77 , 0 , 0
CT78 , 0 , 0
CT79 , 0 , 0
CT80 , 0 , 0
CT81 , 0 , 0
CT82 , 8 , 2
CT83 , 0 , 0
CT84 , 0 , 0
CT85 , 0 , 0
CT86 , 0 , 0
CT87 , 0 , 0
CT88 , 4 , 1
CT89 , 0 , 0
CT90 , 0 , 0
CT91 , 1 , 2
CT92 , 0 , 0
CT93 , 0 , 0
CT94 , 0 , 0
CT95 , 5 , 1
CT96 , 0 , 0
CT97 , 0 , 0
CT98 , 3 , 2
CT99 , 0 , 0
CT100 , 0 , 0
