CONTAINER_ID , X , Y
CT1 , 0 , 0
CT2 , 4 , 5
CT3 , 6 , 5
CT4 , 6 , 2
CT5 , 4 , 4
CT6 , 8 , 6
CT7 , 4 , 2
CT8 , 7 , 8
CT9 , 5 , 5
CT10 , 8 , 1
CT11 , 0 , 0
CT12 , 3 , 3
CT13 , 1 , 6
CT14 , 7 , 2
CT15 , 10 , 4
CT16 , 3 , 7
CT17 , 9 , 1
CT18 , 0 , 0
CT19 , 0 , 0
CT20 , 0 , 0
CT21 , 0 , 0
CT22 , 8 , 7
CT23 , 9 , 4
CT24 , 2 , 2
CT25 , 2 , 1
CT26 , 0 , 0
CT27 , 8 , 5
CT28 , 1 , 4
CT29 , 4 , 6
CT30 , 3 , 2
CT31 , 6 , 6
CT32 , 9 , 2
CT33 , 0 , 0
CT34 , 3 , 5
CT35 , 1 , 8
CT36 , 0 , 0
CT37 , 2 , 5
CT38 , 3 , 4
CT39 , 5 , 2
CT40 , 0 , 0
CT41 , 10 , 1
CT42 , 0 , 0
CT43 , 2 , 6
CT44 , 10 , 2
CT45 , 7 , 3
CT46 , 5 , 7
CT47 , 4 , 3
CT48 , 1 , 1
CT49 , 3 , 6
CT50 , 3 , 1
CT51 , 2 , 4
CT52 , 0 , 0
CT53 , 0 , 0
CT54 , 7 , 5
CT55 , 5 , 6
CT56 , 10 , 7
CT57 , 8 , 8
CT58 , 8 , 3
CT59 , 7 , 7
CT60 , 9 , 5
CT61 , 9 , 3
CT62 , 0 , 0
CT63 , 7 , 1
CT64 , 5 , 1
CT65 , 0 , 0
CT66 , 4 , 7
CT67 , 1 , 7
CT68 , 0 , 0
CT69 , 6 , 1
CT70 , 1 , 3
CT71 , 1 , 2
CT72 , 10 , 5
CT73 , 5 , 3
CT74 , 6 , 4
CT75 , 9 , 6
CT76 , 0 , 0
CT77 , 5 , 4
CT78 , 0 , 0
CT79 , 8 , 2
CT80 , 6 , 7
CT81 , 2 , 8
CT82 , 10 , 6
CT83 , 1 , 5
CT84 , 7 , 6
CT85 , 10 , 3
CT86 , 4 , 1
CT87 , 2 , 3
CT88 , 2 , 7
CT89 , 0 , 0
CT90 , 6 , 8
CT91 , 4 , 8
CT92 , 9 , 8
CT93 , 10 , 8
CT94 , 0 , 0
CT95 , 9 , 7
CT96 , 5 , 8
CT97 , 7 , 4
CT98 , 6 , 3
CT99 , 8 , 4
CT100 , 3 , 8
