OPERATIONS
CT4 , A
CT1 , R
CT2 , R
CT3 , R
CT4 , R
CT5 , R
CT6 , R
CT7 , R
CT8 , R
CT12 , A
CT9 , R
CT42 , A
CT10 , R
CT11 , R
CT69 , A
CT12 , R
CT13 , R
CT34 , A
CT14 , R
CT15 , R
CT16 , R
CT17 , R
CT18 , R
CT19 , R
CT29 , A
CT27 , A
CT86 , A
CT20 , R
CT51 , A
CT21 , R
CT22 , R
CT53 , A
CT23 , R
CT63 , A
CT24 , R
CT25 , R
CT26 , R
CT27 , R
CT28 , R
CT29 , R
CT30 , R
CT31 , R
CT32 , R
CT33 , R
CT58 , A
CT34 , R
CT48 , A
CT35 , R
CT36 , R
CT37 , R
CT78 , A
CT38 , R
CT39 , R
CT40 , R
CT41 , R
CT42 , R
CT61 , A
CT43 , R
CT44 , R
CT45 , R
CT46 , R
CT47 , R
CT88 , A
CT71 , A
CT48 , R
CT49 , R
CT50 , R
CT51 , R
CT52 , R
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT57 , R
CT73 , A
CT58 , R
CT59 , R
CT80 , A
CT60 , R
CT61 , R
CT62 , R
CT97 , A
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT67 , R
CT68 , R
CT69 , R
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT74 , R
CT75 , R
CT76 , R
CT77 , R
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
