CONTAINER_ID , X , Y
CT1 , 8 , 7
CT2 , 3 , 5
CT3 , 1 , 5
CT4 , 0 , 0
CT5 , 6 , 7
CT6 , 2 , 4
CT7 , 4 , 8
CT8 , 2 , 1
CT9 , 2 , 5
CT10 , 5 , 3
CT11 , 2 , 8
CT12 , 0 , 0
CT13 , 4 , 6
CT14 , 0 , 0
CT15 , 5 , 4
CT16 , 0 , 0
CT17 , 0 , 0
CT18 , 1 , 4
CT19 , 1 , 7
CT20 , 3 , 4
CT21 , 7 , 7
CT22 , 8 , 3
CT23 , 4 , 4
CT24 , 7 , 5
CT25 , 9 , 3
CT26 , 1 , 2
CT27 , 3 , 1
CT28 , 8 , 4
CT29 , 5 , 2
CT30 , 7 , 8
CT31 , 4 , 3
CT32 , 4 , 5
CT33 , 6 , 1
CT34 , 10 , 2
CT35 , 5 , 7
CT36 , 4 , 7
CT37 , 1 , 1
CT38 , 9 , 6
CT39 , 7 , 2
CT40 , 0 , 0
CT41 , 9 , 7
CT42 , 0 , 0
CT43 , 9 , 1
CT44 , 9 , 2
CT45 , 1 , 8
CT46 , 0 , 0
CT47 , 1 , 6
CT48 , 2 , 6
CT49 , 3 , 7
CT50 , 0 , 0
CT51 , 1 , 3
CT52 , 3 , 6
CT53 , 3 , 3
CT54 , 8 , 6
CT55 , 0 , 0
CT56 , 10 , 1
CT57 , 0 , 0
CT58 , 6 , 5
CT59 , 8 , 1
CT60 , 8 , 2
CT61 , 0 , 0
CT62 , 9 , 4
CT63 , 4 , 1
CT64 , 9 , 8
CT65 , 0 , 0
CT66 , 6 , 2
CT67 , 10 , 4
CT68 , 5 , 5
CT69 , 0 , 0
CT70 , 8 , 5
CT71 , 10 , 7
CT72 , 7 , 4
CT73 , 6 , 4
CT74 , 5 , 8
CT75 , 10 , 3
CT76 , 0 , 0
CT77 , 7 , 6
CT78 , 4 , 2
CT79 , 0 , 0
CT80 , 2 , 7
CT81 , 2 , 2
CT82 , 0 , 0
CT83 , 5 , 6
CT84 , 3 , 2
CT85 , 8 , 8
CT86 , 7 , 3
CT87 , 0 , 0
CT88 , 5 , 1
CT89 , 0 , 0
CT90 , 0 , 0
CT91 , 10 , 6
CT92 , 6 , 6
CT93 , 7 , 1
CT94 , 6 , 8
CT95 , 3 , 8
CT96 , 9 , 5
CT97 , 2 , 3
CT98 , 6 , 3
CT99 , 10 , 5
CT100 , 10 , 8
