OPERATIONS
CT47 , A
CT30 , A
CT9 , A
CT7 , A
CT76 , A
CT1 , A
CT27 , A
CT11 , A
CT58 , A
CT10 , A
CT4 , A
CT99 , A
CT1 , R
CT2 , R
CT18 , A
CT97 , A
CT26 , A
CT3 , R
CT31 , A
CT50 , A
CT39 , A
CT28 , A
CT78 , A
CT13 , A
CT4 , R
CT16 , A
CT48 , A
CT8 , A
CT5 , R
CT6 , R
CT79 , A
CT65 , A
CT74 , A
CT94 , A
CT80 , A
CT23 , A
CT100 , A
CT7 , R
CT8 , R
CT15 , A
CT20 , A
CT21 , A
CT17 , A
CT70 , A
CT36 , A
CT33 , A
CT67 , A
CT12 , A
CT66 , A
CT9 , R
CT10 , R
CT96 , A
CT19 , A
CT11 , R
CT72 , A
CT12 , R
CT29 , A
CT14 , A
CT13 , R
CT40 , A
CT69 , A
CT68 , A
CT86 , A
CT55 , A
CT14 , R
CT15 , R
CT16 , R
CT17 , R
CT18 , R
CT19 , R
CT56 , A
CT87 , A
CT22 , A
CT20 , R
CT45 , A
CT21 , R
CT92 , A
CT52 , A
CT85 , A
CT83 , A
CT89 , A
CT22 , R
CT23 , R
CT24 , R
CT25 , R
CT54 , A
CT26 , R
CT44 , A
CT34 , A
CT57 , A
CT27 , R
CT84 , A
CT28 , R
CT35 , A
CT29 , R
CT30 , R
CT31 , R
CT60 , A
CT32 , R
CT33 , R
CT34 , R
CT37 , A
CT38 , A
CT51 , A
CT62 , A
CT35 , R
CT36 , R
CT37 , R
CT38 , R
CT39 , R
CT42 , A
CT40 , R
CT41 , R
CT42 , R
CT43 , R
CT75 , A
CT44 , R
CT77 , A
CT71 , A
CT45 , R
CT90 , A
CT46 , R
CT47 , R
CT48 , R
CT49 , R
CT50 , R
CT51 , R
CT52 , R
CT53 , R
CT54 , R
CT55 , R
CT56 , R
CT57 , R
CT63 , A
CT58 , R
CT61 , A
CT59 , R
CT60 , R
CT61 , R
CT62 , R
CT63 , R
CT64 , R
CT65 , R
CT66 , R
CT67 , R
CT68 , R
CT69 , R
CT81 , A
CT70 , R
CT71 , R
CT72 , R
CT73 , R
CT74 , R
CT93 , A
CT75 , R
CT76 , R
CT77 , R
CT78 , R
CT79 , R
CT80 , R
CT81 , R
CT82 , R
CT83 , R
CT84 , R
CT85 , R
CT86 , R
CT87 , R
CT88 , R
CT89 , R
CT90 , R
CT91 , R
CT92 , R
CT93 , R
CT94 , R
CT95 , R
CT96 , R
CT97 , R
CT98 , R
CT99 , R
CT100 , R
